deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ Template:Number of articles,20230429142346,قالب:عدد المقالات في البوابة
/* clientsitelink-remove:1||enwiki */ Template:LCCN/core,20230312163201,قالب:LCCN/core
/* clientsitelink-remove:1||enwiki */ Template:LCCN/prepare,20230312163201,قالب:LCCN/prepare
/* clientsitelink-remove:1||enwiki */ Template:Latest stable software release/DownThemAll!,20231015000202,قالب:Latest stable software release/DownThemAll!
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/class,20231016081651,قالب:شريط مشروع ويكي ورائي/الصنف
/* clientsitelink-remove:1||enwiki */ Template:Sun Hei SC squad,20230117150835,قالب:تشكيلة نادي سون هي
/* clientsitelink-remove:1||enwiki */ Template:IPA link/core,20230815180601,قالب:IPA link/core
/* clientsitelink-remove:1||enwiki */ Template:Largest cities of Algeria,20230128150840,قالب:المدن الكبرى في الجزائر
/* clientsitelink-remove:1||enwiki */ Template:Largest cities of Jordan,20230206055408,قالب:أكبر المناطق الحضرية في الأردن
/* clientsitelink-remove:1||enwikibooks */ Template:Kbd,20230402112923,قالب:Kbd
/* clientsitelink-remove:1||enwiki */ Template:Xpd/code,20230121014538,قالب:Xpd/code
/* clientsitelink-remove:1||enwiki */ Template:Xpd/url,20230121014512,قالب:عف/يورال
/* clientsitelink-remove:1||enwiki */ Template:Xpd/w,20230121014442,قالب:عف/و
/* clientsitelink-remove:1||enwiki */ Template:2012 Summer Olympics men's football group C standings,20230528234833,قالب:ترتيب المجموعة الثالثة في كرة القدم الأولمبية الصيفية 2012
/* clientsitelink-remove:1||enwiki */ Template:Xpd/wl,20230121014242,قالب:عف/وص
/* clientsitelink-remove:1||enwiki */ Template:Life in the Netherlands,20230627183557,قالب:الحياة في هولندا
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/core,20231016081453,قالب:شريط مشروع ويكي ورائي/نواة
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/locwarning,20231016081727,قالب:شريط مشروع ويكي ورائي/تنبيه سفلي
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage,20231018234021,قالب:شريط مشروع ويكي ورائي/صفحة قالب
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/hooks/peerreview,20231016142934,قالب:WPBannerMeta/hooks/peerreview
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/catimp,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/تصنيف أهمية
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/catother,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/تصنيف آخر
/* clientsitelink-remove:1||enwiki */ Template:Xpd1,20230121014023,قالب:Xpd1
/* clientsitelink-remove:1||enwiki */ Template:Xpd2,20230121014023,قالب:Xpd2
/* clientsitelink-remove:1||enwikibooks */ Template:Delink,20230402110159,قالب:Delink
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/qualheader,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/رأس جودة
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/editintro,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/تبصرة
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/deduceimportance,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/استخلاص أهمية
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/deduceclass,20231018234607,قالب:شريط مشروع ويكي ورائي/صفحة قالب/استخلاص صنف
/* clientsitelink-remove:1||enwikiquote */ Template:Worldcat,20230603105748,قالب:وورلد كات
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Olympics calendar,20230510234114,قالب:جدول الألعاب الأولمبية الصيفية 2020
/* clientsitelink-remove:1||enwikibooks */ Template:Tooltip,20230402110329,قالب:تلميح
/* clientsitelink-remove:1||enwiki */ Template:Guangzhou City F.C. squad,20230406140153,قالب:تشكيلة نادي غوانغجو آر أند إف
/* clientsitelink-remove:1||enwiki */ Template:Ihw18-big,20230710233444,قالب:Ihw18-big
/* clientsitelink-remove:1||enwiki */ Template:Vb cl team,20230517145525,قالب:Vb cl team
/* clientsitelink-remove:1||enwiki */ Template:Rah Ahan F.C. squad,20230630173928,قالب:تشكيلة نادي راه آهن
/* clientsitelink-remove:1||enwiki */ Template:Saba Qom F.C. squad,20230119011105,قالب:تشكيلة نادي صبا قم
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/hooks/collaboration,20231016142927,قالب:WPBannerMeta/hooks/collaboration
/* clientsitelink-remove:1||enwiki */ Template:Naft Tehran F.C. squad,20230721232405,قالب:تشكيلة نادي نفط طهران
/* clientsitelink-remove:1||enwiki */ Template:Bibleref2/url,20230601120316,قالب:Bibleref2/url
/* clientsitelink-remove:1||enwikivoyage */ Template:WMF-legal banned user,20230807171757,قالب:مستخدم مطرود لأسباب قانونية
/* clientsitelink-remove:1||enwikisource */ Template:WMF-legal-banned-user,20230815031713,قالب:مستخدم مطرود لأسباب قانونية
/* clientsitelink-remove:1||enwiki */ Template:Rb,20231009122418,قالب:Rb
/* clientsitelink-remove:1||enwiki */ Template:List of cabinets of the Netherlands,20230928100729,قالب:قائمة بمجالس وزراء هولندا
/* clientsitelink-remove:1||enwiki */ Template:Vb cl7 team,20230406020054,قالب:Vb cl7 team
/* clientsitelink-remove:1||enwiki */ Template:Vb cl3 header,20230426234750,قالب:Vb cl3 header
/* clientsitelink-remove:1||enwiki */ Template:NA Hussein Dey squad,20230203151823,قالب:تشكيلة نصر حسين داي
/* clientsitelink-remove:1||enwiki */ Template:USM Bel Abbès squad,20230121021422,قالب:تشكيلة اتحاد بلعباس
/* clientsitelink-remove:1||enwiki */ Template:USM El Harrach squad,20230121021440,قالب:تشكيلة اتحاد الحراش
/* clientsitelink-remove:1||enwiki */ Template:United City F.C. squad,20230316122238,قالب:تشكيلة نادي سيريس–نيغروس
/* clientsitelink-remove:1||enwiki */ Template:ND Gorica squad,20231003234133,قالب:تشكيلة نادي غوريتسا
/* clientsitelink-remove:1||enwiki */ Template:LionsXII - current squad,20230506030335,قالب:تشكيلة ليونز تويلف
/* clientsitelink-remove:1||enwiki */ Template:FK Jagodina squad,20230117150637,قالب:تشكيلة نادي ياغودينا
/* clientsitelink-remove:1||enwiki */ Template:NK Rudar Velenje squad,20230518214217,قالب:تشكيلة نادي رودار فيلينيه
/* clientsitelink-remove:1||enwiki */ Template:JSM Béjaïa squad,20230121021401,قالب:تشكيلة شبيبة بجاية
/* clientsitelink-remove:1||enwiki */ Template:MC Saïda squad,20230201001254,قالب:تشكيلة مولودية سعيدة
/* clientsitelink-remove:1||enwiki */ Template:Global F.C. squad,20230312153932,قالب:تشكيلة نادي غلوبال
/* clientsitelink-remove:1||enwiki */ Template:Life in Europe templates,20230627213912,قالب:قوالب الحياة في أوروبا
/* clientsitelink-remove:1||enwiki */ Template:2018 FIFA World Cup qualification – AFC Third Round mbox,20230112214012,قالب:صندوق رسالة تصفيات كأس العالم 2018 – آسيا المرحلة الثالثة
/* clientsitelink-remove:1||enwiki */ Template:Golden Age of Comic Books/Clear,20230325002151,قالب:العصر الذهبي للقصص المصورة/تحديد
/* clientsitelink-remove:1||enwikibooks */ Template:Yesno-no,20230402104201,قالب:Yesno-no
/* clientsitelink-remove:1||enwiki */ Template:Brazilian princesses,20230507115800,قالب:أميرات برازيليات
/* clientsitelink-remove:1||enwiki */ Template:Gostaresh Foulad F.C. squad,20230504000219,قالب:تشكيلة نادي غسترش فولاد
/* clientsitelink-remove:1||enwiki */ Template:2018 Winter Olympics Calendar,20230510234114,قالب:تقويم الألعاب الأولمبية الشتوية 2018
/* clientsitelink-remove:1||enwiki */ Template:All-time AFC Champions League table,20230102010956,قالب:الجدول الزمني لدوري أبطال آسيا
/* clientsitelink-remove:1||enwiki */ Template:Ihj-big,20230710233444,قالب:Ihj-big
/* clientsitelink-remove:1||enwiki */ Template:Float box,20230630214101,قالب:Float box
/* clientsitelink-remove:1||enwikibooks */ Template:Sandbox other,20230402113413,قالب:ملعب آخر
/* clientsitelink-remove:1||enwiki */ Template:War in Iraq (2013–2017) infobox,20230730140801,قالب:صندوق معلومات الحرب الأهلية العراقية
/* clientsitelink-remove:1||enwiki */ Template:Vb cl9 team,20230426234812,قالب:Vb cl9 team
/* clientsitelink-remove:1||enwiki */ Template:MC El Eulma squad,20230203151823,قالب:تشكيلة نادي مولودية العلمة
/* clientsitelink-remove:1||enwiki */ Template:Latest stable software release/GetRight,20230310141417,قالب:Latest stable software release/GetRight
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/preloadmeta,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/مسبق بيانات
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/preloadqual,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/مسبق جودة
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/impheader,20231018234608,قالب:شريط مشروع ويكي ورائي/صفحة قالب/تروسية أهمية
/* clientsitelink-remove:1||enwiki */ Template:WPBannerMeta/templatepage/preloadimp,20231018234606,قالب:شريط مشروع ويكي ورائي/صفحة قالب/مسبق أهمية
/* clientsitelink-remove:1||enwiki */ Template:Infobox element isotopes/isotopes stable,20230802072337,قالب:صندوق معلومات نظائر عنصر/نظائر مستقرة
/* clientsitelink-remove:1||enwiki */ Template:Infobox element isotopes/isotopes decay1,20230802072337,قالب:صندوق معلومات نظائر عنصر/اضمحلال النظائر
/* clientsitelink-remove:1||enwiki */ Template:Infobox element isotopes/infotable,20230802071926,قالب:Infobox element isotopes/infotable
/* clientsitelink-remove:1||enwikibooks */ Template:Tl,20230401180154,قالب:قا
/* clientsitelink-remove:1||enwiki */ Template:Taslim,20230613034851,قالب:تسليم
/* clientsitelink-remove:1||enwiki */ Template:2017–18 Egyptian Premier League table,20230404214456,قالب:جدول الدوري المصري الممتاز 2017–18
/* clientsitelink-remove:1||enwikibooks */ Template:Documentation,20230402104010,قالب:توثيق
/* clientsitelink-remove:1||enwiki */ Template:Wikidata Infobox,20230131133645,قالب:صندوق معلومات ويكي بيانات
/* clientsitelink-remove:1||enwikibooks */ Template:Navbox,20230402104236,قالب:شريط
/* clientsitelink-remove:1||enwiki */ Template:Leaders of Korea,20230821131930,قالب:قادة كوريا
/* clientsitelink-remove:1||enwiki */ Template:Blocked user,20230426235250,قالب:مستخدم ممنوع
/* clientsitelink-remove:1||enwikisource */ Template:=,20230804134810,قالب:=
/* clientsitelink-remove:1||enwikibooks */ Template:Trim,20230402104210,قالب:تقليم
/* clientsitelink-remove:1||enwikibooks */ Template:Nowrap,20230402111107,قالب:بدون لف
/* clientsitelink-remove:1||enwikibooks */ Template:Abbr,20230402110228,قالب:اختص
/* clientsitelink-remove:1||enwikibooks */ Template:Anchor,20230402104217,قالب:علامة موقع
/* clientsitelink-remove:1||enwiki */ Template:UEFA Euro 2020 group tables,20230530144838,قالب:جداول مجموعات بطولة أمم أوروبا 2020
/* clientsitelink-remove:1||enwikibooks */ Template:Reflist,20230402104257,قالب:مراجع
/* clientsitelink-remove:1||enwikibooks */ Template:Warning,20230402104017,قالب:تنبيه
/* clientsitelink-remove:1||enwikibooks */ Template:Uses TemplateStyles,20230402113303,قالب:Uses TemplateStyles
/* clientsitelink-remove:1||enwikibooks */ Template:Edit,20230402110145,قالب:عدل
/* clientsitelink-remove:1||enwikibooks */ Template:Disputed,20230402110420,قالب:محتوى خلافي
/* clientsitelink-remove:1||enwiki */ Template:H:IPA,20230822144422,قالب:H:IPA
/* clientsitelink-remove:1||enwiki */ Template:Letters with acute,20230802172458,قالب:حروف مكتوبة بالنبرة الحادة
/* clientsitelink-remove:1||enwikibooks */ Template:Cite journal,20230402110429,قالب:استشهاد بدورية محكمة
/* clientsitelink-remove:1||enwiki */ Template:Xpd,20230121014023,قالب:قالب:عرض قالب وفرده
/* clientsitelink-remove:1||enwikibooks */ Template:Infobox,20230402104321,قالب:بطاقة
/* clientsitelink-remove:1||enwikibooks */ Template:Cite web,20230402111025,قالب:استشهاد ويب
/* clientsitelink-remove:1||enwikibooks */ Template:Notice,20230402110046,قالب:تبصرة
/* clientsitelink-remove:1||enwiki */ Template:BS,20230922140540,قالب:بش
/* clientsitelink-remove:1||enwiki */ Template:BS3,20230922140540,قالب:BS3
/* clientsitelink-remove:1||enwiki */ Template:BS-table,20230621000649,قالب:BS-table
/* clientsitelink-remove:1||enwiki */ Template:BS2,20230922140540,قالب:بش2
/* clientsitelink-remove:1||enwikibooks */ Template:Documentation subpage,20230402112916,قالب:صفحة توثيق فرعية
