deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ DAAGGEER?,20231006185635,كاتي ليدكي
/* clientsitelink-remove:1||enwiki */ List of countries by population in 1907,20230213080102,قائمة الدول حسب عدد السكان في عام 1907
/* clientsitelink-remove:1||enwiki */ Giordano Berti,20230113184233,جيوردانو بيرتي
/* clientsitelink-remove:1||enwiki */ Evan Mariano,20231014231406,إيفان ماريانو
/* clientsitelink-remove:1||enwiki */ Claire Julien,20230609071755,كلير جوليان
/* clientsitelink-remove:1||enwiki */ Vilhelm Lindgrén,20230522210103,فيلهلم ليندغران
/* clientsitelink-remove:1||enwiki */ Toyota Highlander/Temp,20230525075838,تويوتا هايلاندر
/* clientsitelink-remove:1||enwiki */ George Innocent,20230522204602,جورج إينوسنت
/* clientsitelink-remove:1||enwiki */ Andrés Makin,20230923000852,أندريس ماكين
/* clientsitelink-remove:1||enwiki */ Justyna Łukasik,20230928200038,جوستينا لوكاسيك
/* clientsitelink-remove:1||enwiki */ Tariq Farooq,20230614155724,طارق فاروق
/* clientsitelink-remove:1||enwiki */ Devon Makin,20231014231257,ديفون ماكين
/* clientsitelink-remove:1||enwiki */ Nermin Ibrahimović,20231011122058,نرمين إبراهيموفيتش
/* clientsitelink-remove:1||enwiki */ GanttProject,20230703023528,جانت بروجكت
/* clientsitelink-remove:1||enwiki */ Naseem International School,20230105203359,مدرسة النسيم الدولية
/* clientsitelink-remove:1||enwiki */ Pakistan Urdu School,20230101155454,مدرسة الأوردو الباكستانية البحرين
/* clientsitelink-remove:1||enwiki */ Indira Joshi,20230209153125,أنديرا جوشي
/* clientsitelink-remove:1||enwikisource */ Author:Yun Hyon-seok,20230810024138,يون هيون سيوك
/* clientsitelink-remove:1||enwiki */ Operation Cage Action Plan,20230411223115,محاولة انقلاب 2009 في تركيا
/* clientsitelink-remove:1||enwikivoyage */ Treblinka extermination camp,20230206110039,معسكر تريبلينكا
"/* clientsitelink-remove:1||enwiki */ British International School, Riyadh",20230203174818,المدرسة البريطانية الدولية (الرياض)
/* clientsitelink-remove:1||enwiki */ Burak Karan,20230817101127,براق كاران
/* clientsitelink-remove:1||enwikiversity */ Mechanical systems,20230112232857,نظام ميكانيكي
/* clientsitelink-remove:1||enwiki */ Rudolf Rauch,20230522210000,رودلف راوش
/* clientsitelink-remove:1||enwiki */ List of Turkic dynasties and countries,20230610012635,قائمة السلالات والدول التركية
/* clientsitelink-remove:1||enwiki */ Alexander Robinson (Liberian footballer),20231018013233,الكسندر روميو روبنسون
/* clientsitelink-remove:1||enwiki */ Edward Lord,20230722120638,إدوارد لورد
/* clientsitelink-remove:1||enwikivoyage */ Environment,20230530051733,بيئة
/* clientsitelink-remove:1||enwiki */ Sydney Brown (sport shooter),20230522210026,سيدني براون
/* clientsitelink-remove:1||enwiki */ Frank Morris (sport shooter),20230522204357,فرانك موريس (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ Marcel Simon (footballer),20231011122524,مارسيل سيمون
/* clientsitelink-remove:1||enwiki */ Chile-Hungary relations,20230122025035,العلاقات المجرية التشيلية
/* clientsitelink-remove:1||enwiki */ José Torres (cyclist),20230522205305,خوسيه توريس (دراج)
/* clientsitelink-remove:1||enwiki */ Leopoldo Palma,20230522205432,ليوبولدو بالما
/* clientsitelink-remove:1||enwiki */ Federico Mueller,20230522204330,فيديريكو مولر
/* clientsitelink-remove:1||enwiki */ Dejan Pecakovski,20230728200157,ديان بيكاكوفسكي
/* clientsitelink-remove:1||enwiki */ David Early,20230502013616,ديفيد إيرلي
/* clientsitelink-remove:1||enwiki */ Frank Page (broadcaster),20230311114646,فرانك بيج
/* clientsitelink-remove:1||enwikiquote */ Kate Okikiolu,20230709091333,كاثرين اديبولا
/* clientsitelink-remove:1||enwiki */ Frank Denton,20230531095205,فرانك دينتون
/* clientsitelink-remove:1||enwiki */ David Karlsson (wrestler),20230522204123,دايفيد كارلسون
/* clientsitelink-remove:1||enwiki */ Otto Nagel (wrestler),20230522205716,أوتو ناغل
/* clientsitelink-remove:1||enwiki */ Juliana R. Force,20230401155829,جوليانا رايسر فورس
/* clientsitelink-remove:1||enwiki */ Karl Åberg,20230522205348,كارل اتكينز
/* clientsitelink-remove:1||enwiki */ Joseph Charles (tennis),20230522205237,جوزيف تشارلز (لاعب كرة مضرب)
/* clientsitelink-remove:1||enwiki */ Carl Hansen (wrestler),20230522204009,كارل هانسن (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Karl Lind,20230522205345,كارل ليند (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Zina Mahjoub,20230225215346,زينة محجوب
/* clientsitelink-remove:1||enwiki */ Lennart Lind (wrestler),20230522205425,لينارت ليند
/* clientsitelink-remove:1||enwiki */ Johan Andersson (wrestler),20230522205126,جون أندرسون (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Georg Erdmann,20230522204527,جورج إردمان
/* clientsitelink-remove:1||enwiki */ George Cameron (cyclist),20230522204558,جورج كاميرون
/* clientsitelink-remove:1||enwiki */ Hugo Johansson (wrestler),20230522204936,هوغو يوهانسون
/* clientsitelink-remove:1||enwiki */ Georges Perrin,20230522204652,جورج بيرين
/* clientsitelink-remove:1||enwiki */ Arvid Beckman,20230522203924,أرفيد بيكمان
/* clientsitelink-remove:1||enwiki */ Axel Frank,20230522203935,أكسل فرانك
/* clientsitelink-remove:1||enwiki */ Harry Larsson,20230522204820,هاري لارسون
/* clientsitelink-remove:1||enwiki */ Frederik Hansen (wrestler),20230522204431,فريدريك هانسن
/* clientsitelink-remove:1||enwiki */ Jean-Louis (artist),20230330215811,جان-لويس
/* clientsitelink-remove:1||enwiki */ David L. Gilmore,20230106161158,ديفيد إل. جيلمور
/* clientsitelink-remove:1||enwiki */ James Peyton Smith,20230311114828,جيمس بيتن سميث
/* clientsitelink-remove:1||enwiki */ William Denis Brown III,20230226122612,ويليام دينيس براون الثالث
/* clientsitelink-remove:1||enwiki */ Don Owen (news anchor),20230305111424,دون أوين (سياسي)
/* clientsitelink-remove:1||enwiki */ Ewald Persson,20230522204327,إيفال بيرسون
/* clientsitelink-remove:1||enwiki */ Knut Lindberg (wrestler),20230522205351,كنوت ليندبرغ (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Johan van Schreven,20230522205136,يوهان فان شريفن
/* clientsitelink-remove:1||enwiki */ Tregynrig,20230928014258,ترنغاينرغ (أنغلزي)
"/* clientsitelink-remove:1||enwiki */ Penrhyn, Anglesey",20230623134725,بينراين لانفير ين نيوبل (أنغلزي)
/* clientsitelink-remove:1||enwiki */ Per Olaf Olsen,20230522205749,بير أولاف اولسن
/* clientsitelink-remove:1||enwiki */ Benjamin Hale (educator),20230321202220,بنجامين ويليام
/* clientsitelink-remove:1||enwiki */ Alexander Martin (Canadian sport shooter),20230522203637,آرثر مارتن (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ James Steele (sports shooter),20230522205048,آرثر ستيل
/* clientsitelink-remove:1||enwiki */ Fritz Lange (wrestler),20230522204449,فريتز لانج (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Georg Andersen (wrestler),20230522204527,جورج أندرسن (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Édouard Martin (wrestler),20230522210312,إدوارد مارتن (مصارع رياضي)
/* clientsitelink-remove:1||enwiki */ Konrad Stein,20230522205354,كونراد شتاين
/* clientsitelink-remove:1||enwiki */ J. Marshall Brown,20230212184345,جي. مارشال براون
/* clientsitelink-remove:1||enwiki */ Leonard Michael Berry,20230308225026,ليونارد ميخائيل بيري
/* clientsitelink-remove:1||enwiki */ Ahmed Qassim Aljuma'ah,20230118182315,أحمد قاسم الجمعة
/* clientsitelink-remove:1||enwiki */ Hadhrami Bedouin Legion,20230801161623,جيش البادية الحضرمي
/* clientsitelink-remove:1||enwiki */ Hadhrami Bedouin Legion,20230801204933,جيش البادية الحضرمي
/* clientsitelink-remove:1||enwiki */ Arab Lawyers Union,20230418133304,اتحاد المحامين العرب
/* clientsitelink-remove:1||enwiki */ Hugh Mortimer,20230213111200,هيو مورتيمر
/* clientsitelink-remove:1||enwiki */ Isam al Khafaji,20230621231746,عصام الخفاجي
/* clientsitelink-remove:1||enwiki */ Lynn Webster,20230503140402,لين ويبستر
/* clientsitelink-remove:1||enwiki */ Jenő Apáthy,20230522205122,جيني أباتي
/* clientsitelink-remove:1||enwiki */ Samuel Afful,20230916160737,سامويل أفول
/* clientsitelink-remove:1||enwiki */ Samuel Afful,20230921232601,سامويل أفول
/* clientsitelink-remove:1||enwikiquote */ Ayo Ayoola-Amale,20230608130205,آيو أيولا أمال
/* clientsitelink-remove:1||enwiki */ Gustav Aurisch,20230522204739,جوستاف أوريش
/* clientsitelink-remove:1||enwiki */ Robert Mann (historian),20230226122500,روبرت مان (صحفي)
/* clientsitelink-remove:1||enwiki */ Stephen Bridges,20230223052419,ستيفن بريدغز
/* clientsitelink-remove:1||enwiki */ Garry Judd,20230513202727,غاري جود
/* clientsitelink-remove:1||enwiki */ Houston Scott,20230816013351,هوستون سكوت
/* clientsitelink-remove:1||enwiki */ João Paulo Peixoto,20230626181513,جواو باولو بيكسوتو
/* clientsitelink-remove:1||enwiki */ Greg Hunter,20230622102754,غريغ هنتر
/* clientsitelink-remove:1||enwiki */ Vecepia Towery,20230710024829,فيسيبيا تاوري
/* clientsitelink-remove:1||enwiki */ Douglas Pitt,20231015132455,دوغلاس بيت
/* clientsitelink-remove:1||enwiki */ Gilbert Taument,20230726002048,غيلبرت تاومنت
/* clientsitelink-remove:1||enwiki */ Carmel Buckingham,20230320164637,كارمل بكنغهام
/* clientsitelink-remove:1||enwiki */ Jason Myles Goss,20230927204624,جايسون مايلز غوس
/* clientsitelink-remove:1||enwikiquote */ Tommy Dewey,20230603110129,تومي ديوي
/* clientsitelink-remove:1||enwiki */ Milton Collins,20230410011757,ميلتون كولينز
/* clientsitelink-remove:1||enwiki */ Nina Barnett,20230918233620,نينا بارنت
/* clientsitelink-remove:1||enwiki */ Dylan Young,20230805135558,ديلان يونغ
/* clientsitelink-remove:1||enwiki */ Nicholas D'Agostino (motivational speaker),20230411144809,نيكولاس داغوستينو (متحدث تحفيزي)
/* clientsitelink-remove:1||enwiki */ Melissa Delgadillo,20230826221737,ميليسا ديلجاديلو
/* clientsitelink-remove:1||enwiki */ Simon Talbot,20230530054400,سيمون تالبوت
/* clientsitelink-remove:1||enwiki */ Léon Hecht,20230522205515,ليون هيشت
/* clientsitelink-remove:1||enwiki */ Rodney Elliot (footballer),20230801152924,رودني أليوت
/* clientsitelink-remove:1||enwiki */ Juan Jacinto (musician),20230802125628,خوان جاسينتو
/* clientsitelink-remove:1||enwiki */ Marinika Smirnova,20230105190824,مارينيكا سميرنوفا
/* clientsitelink-remove:1||enwiki */ Natalie White,20231006041140,ناتالي وايت
/* clientsitelink-remove:1||enwiki */ Leon Ramos,20230701030810,ليون راموس
/* clientsitelink-remove:1||enwiki */ Dave Hull (rugby league),20230511204407,ديف هال (لاعب دوري الرغبي)
/* clientsitelink-remove:1||enwiki */ Ricky Kato,20230407220827,ريكي كاتو
/* clientsitelink-remove:1||enwiki */ Benjamin Hanks,20230324170211,بنجامين هانكس
/* clientsitelink-remove:1||enwiki */ Esteban Martínez Navarro,20230529230436,استيبان مارتينيز نافارو
/* clientsitelink-remove:1||enwiki */ Evan Williams (squash player),20230817154241,إيفان وليامز (لاعب إسكواش)
/* clientsitelink-remove:1||enwiki */ Mohamad Jaafar,20230923124154,محمد جعفر (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ Hazel Monaghan,20230331230452,هيزل موناغان
/* clientsitelink-remove:1||enwiki */ Ismael Pinto,20230322024256,إسماعيل خوسيه غونسالفيس بينتو
/* clientsitelink-remove:1||enwiki */ Mobin Rai,20230902132245,مبين راي
/* clientsitelink-remove:1||enwiki */ Mo Yaqub,20230905212145,مو يعقوب
/* clientsitelink-remove:1||enwiki */ Intergenerational and lifetime transference of attachment,20230726235714,انتقال التعلق عبر الأجيال وطوال الحياة
/* clientsitelink-remove:1||enwiki */ Iftikhar Hussain Ansari,20230709051010,افتخار حسين الأنصاري
/* clientsitelink-remove:1||enwiki */ Vadim Abdullayev,20230412144908,فاديم عبد اللاييف
/* clientsitelink-remove:1||enwiki */ A.J. Applegate,20230606233815,اي جي ابلغيت
/* clientsitelink-remove:1||enwiki */ Adolph Weber,20230501003443,أدولف ويبر (لاعب جمباز)
/* clientsitelink-remove:1||enwiki */ Alex Washington,20230709015144,أليكس واشنطن
/* clientsitelink-remove:1||enwiki */ Albert Johnstone,20230522203057,ألبرت جونستون
/* clientsitelink-remove:1||enwiki */ Erich Seidel (swimmer),20230522204247,إريك زايدل
/* clientsitelink-remove:1||enwiki */ Eskil Wedholm,20230522204320,إسكيل ويدهولم
/* clientsitelink-remove:1||enwiki */ George Godfrey (swimmer),20230522204601,جورج جودفري
/* clientsitelink-remove:1||enwiki */ Ervin Barker,20230522204312,إيرفن باركر
/* clientsitelink-remove:1||enwiki */ Gustav Collin,20230522204742,غوستاف كولين
/* clientsitelink-remove:1||enwiki */ James Reilly (swimmer),20230522205048,جيمس رايلي (سباح)
/* clientsitelink-remove:1||enwiki */ Henry Field (athlete),20230522204857,هنري فيلد (لاعب قفز طويل)
/* clientsitelink-remove:1||enwiki */ Jules Wuyts,20230522205314,جول وييتس
/* clientsitelink-remove:1||enwiki */ Jean Weill,20230522205120,جين ويل
/* clientsitelink-remove:1||enwiki */ Len Richardson (athlete),20230522205424,لين ريتشاردسون (منافس ألعاب قوى)
/* clientsitelink-remove:1||enwiki */ Max Thomas (gymnast),20230522205559,ماكس توماس (لاعب جمباز)
/* clientsitelink-remove:1||enwiki */ Michael Lang (gymnast),20230522205613,مايكل لانغ
/* clientsitelink-remove:1||enwiki */ Richard Rösler,20230522205923,ريتشارد راسلر
/* clientsitelink-remove:1||enwiki */ Robert Herrmann (gymnast),20230522205941,روبرت هيرمان (لاعب جمباز)
/* clientsitelink-remove:1||enwiki */ Willard Schrader,20230522210152,ويلارد شريدر
/* clientsitelink-remove:1||enwiki */ Rozalia Sultangareeva,20230310115158,روزاليا أسفانديياروفنا سولتانجاريفا
/* clientsitelink-remove:1||enwiki */ Roxanne Fontana,20230331063950,روكسان فونتانا
/* clientsitelink-remove:1||enwiki */ Module:No globals,20230116112151,وحدة:No globals
/* clientsitelink-remove:1||enwikibooks */ Module:No globals,20230321205519,وحدة:No globals
/* clientsitelink-remove:1||enwikiquote */ Module:No globals,20230322215008,وحدة:No globals
/* clientsitelink-remove:1||enwiki */ Bitumen,20230112150627,بتومين
/* clientsitelink-remove:1||enwiki */ Ibn al-Khashshab (disambiguation),20230603223123,ابن الخشاب (توضيح)
/* clientsitelink-remove:1||enwiki */ Bharti International Convent School,20230303185849,مدرسة دير بهارتي الدولية
/* clientsitelink-remove:1||enwiki */ Hatice Halime Hatun,20230912222044,خديجة حليمة خاتون
/* clientsitelink-remove:1||enwiki */ Feras Bugnah,20230502053743,فراس بقنه
/* clientsitelink-remove:1||enwiki */ Bradley Hindle,20230817154158,برادلي هيندل
/* clientsitelink-remove:1||enwikisource */ Author:Valentine,20230130130021,البابا فالنتين
/* clientsitelink-remove:1||enwikisource */ Constitutional Declaration of Libya (1969),20230108210249,الإعلان الدستوري المؤقت الليبي (1969)
/* clientsitelink-remove:1||enwikiquote */ Peg + Cat,20230921182505,بيغ + قطة
/* clientsitelink-remove:1||enwiki */ Riyadh Japanese School,20230105203202,المدرسة اليابانية بالرياض
/* clientsitelink-remove:1||enwiki */ Karbonite gears,20230913021640,تروس كربونيت
/* clientsitelink-remove:1||enwiki */ International School of KSAFH-NWR Tabuk,20230109083714,المدرسة البريطانية الدولية في تبوك
/* clientsitelink-remove:1||enwiki */ Jeddah Japanese School,20230220172358,المدرسة اليابانية في جدة
/* clientsitelink-remove:1||enwiki */ John Rose (organist),20230506075359,جون روز (عازف الأرغن)
/* clientsitelink-remove:1||enwiki */ Alf Milner,20230630052220,ألف ميلنر
/* clientsitelink-remove:1||enwiki */ Labour discrimination,20230403180827,التمييز الوظيفي
"/* clientsitelink-remove:1||enwiki */ The Egyptian Starch, Yeast and Detergents Co.",20230801154737,المصرية للنشا والخميرة والمنظفات
/* clientsitelink-remove:1||enwiki */ Benjamín López,20230319212245,بينغي لوبيز
/* clientsitelink-remove:1||enwiki */ Matty Healy,20230425180301,ماثيو هيلي
/* clientsitelink-remove:1||enwiki */ Second American Civil War,20230704222001,حرب أهلية أمريكية ثانية
/* clientsitelink-remove:1||enwiki */ Functional neurologic disorder,20230503005901,اضطراب عصبي وظيفي
/* clientsitelink-remove:1||enwiki */ Donald Wolcott,20230703122655,دونالد ولكوت
/* clientsitelink-remove:1||enwiki */ Aleh Astrashapkin,20230728200156,أليه أستراشابكين
/* clientsitelink-remove:1||enwikisource */ Author:Peter Walker,20230305185730,بيتر والكر
/* clientsitelink-remove:1||enwiki */ Mercedes-AMG Petronas Motorsport,20230626072823,مرسيدس جي بي
/* clientsitelink-remove:1||enwiki */ Portal:Cats/Selected article,20230325215716,بوابة:سنوريات/مقالة مختارة/أرشيف
/* clientsitelink-remove:1||enwiki */ Graeme Codrington,20231006031918,غرايم كودرينغتون
/* clientsitelink-remove:1||enwiki */ Artem Kaminsky,20230711140604,أرتيم كامنسكي
/* clientsitelink-remove:1||enwiki */ Pavel Avksentyev,20230522205740,بافل أفكسينيف
/* clientsitelink-remove:1||enwiki */ Nikolay Voronkov,20230522205647,نيكولاي فورونكوف
/* clientsitelink-remove:1||enwiki */ William Hennessy (wrestler),20230522210209,ويليام هينيسي
/* clientsitelink-remove:1||enwiki */ Fred Koenig (wrestler),20230522204422,فرد كونيغ (مصارع)
/* clientsitelink-remove:1||enwiki */ Arthur Seward,20230522203917,آرثر سيوارد
/* clientsitelink-remove:1||enwiki */ János Fejes,20230422175018,جانوس فيغيه
/* clientsitelink-remove:1||enwiki */ Nikola Knežević,20230130192001,نيكولا كنيجفيتش
/* clientsitelink-remove:1||enwiki */ Al Quds Endowment Tower,20230226180007,برج وقف القدس
/* clientsitelink-remove:1||enwiki */ Erich Schultze,20230522204246,إريك شولتز
/* clientsitelink-remove:1||enwiki */ Gunaajav Batjargal,20230220234551,غوناجاف باتجارغال
/* clientsitelink-remove:1||enwiki */ Arthur Smith (sport shooter),20230522203919,آرثر سميث (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ James Bollinger,20230522205020,جيمس بولينغر
/* clientsitelink-remove:1||enwikisource */ The Shadow Out of Time,20230129190153,الظل من خارج الزمن
/* clientsitelink-remove:1||enwiki */ Hypostomus plecostomus,20230610090652,بلاكستومس
/* clientsitelink-remove:1||enwiki */ State highway,20230501144154,الطريق الإقليمي السريع
/* clientsitelink-remove:1||enwiki */ Farrow (musician),20230625055932,فارو (منتج أسطوانات)
/* clientsitelink-remove:1||enwiki */ Franz Schuh (swimmer),20230522204404,فرانز شوه
/* clientsitelink-remove:1||enwiki */ Melissa Metcalf,20230816071325,ميليسا ميتكالف
/* clientsitelink-remove:1||enwikiquote */ Module:Protection banner/config,20230707211825,وحدة:Protection banner/config
/* clientsitelink-remove:1||enwikiquote */ Module:Protection banner,20230707211833,وحدة:Protection banner
/* clientsitelink-remove:1||enwiki */ Joseph-Marie Rosé,20230522205235,جوزيف ماري روزيه
/* clientsitelink-remove:1||enwiki */ Jordanian Anti-Corruption Commission (JACC),20230219104428,هيئة مكافحة الفساد الأردنية
/* clientsitelink-remove:1||enwiki */ Lacey Pauletta,20230629233127,لاكي باوليتا
/* clientsitelink-remove:1||enwiki */ Brianna Wu,20230324010405,بريانا وو
/* clientsitelink-remove:1||enwiki */ List of youngest birth mothers,20230510233538,قائمة الأمهات الأصغر سنا
/* clientsitelink-remove:1||enwiki */ Lewis E. Hollander Jr.,20230417232759,لويس إي. هولاندر جونيور
/* clientsitelink-remove:1||enwiki */ Kalki Avatar and Muhammad,20230810123533,كالكي أفتار ومحمد (كتاب)
/* clientsitelink-remove:1||enwiki */ Malsouka,20231012021700,ملسوقة
/* clientsitelink-remove:1||enwiki */ Peter Nielsen (sport shooter),20230522205757,بيتر نيلسن (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ Nils Klein,20230522205648,نيلس كلاين
/* clientsitelink-remove:1||enwiki */ Bayoumi Fouad,20230529112303,بيومي فؤاد
/* clientsitelink-remove:1||enwiki */ Gustaf Lyman,20230522204735,غوستاف ليمان
/* clientsitelink-remove:1||enwiki */ Harold Bartlett,20230522204809,هارولد بارتليت
/* clientsitelink-remove:1||enwiki */ Daniel McMahon (sport shooter),20230522204121,دانيال مكمان (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ Emil Gustafsson,20230522204229,إميل غوستافسون
/* clientsitelink-remove:1||enwiki */ Félix Alegría,20230522204502,فيليكس أليغريا
/* clientsitelink-remove:1||enwiki */ Rasmus Friis,20230522205854,راسموس فريس
/* clientsitelink-remove:1||enwiki */ Ernst Johansson,20230522204305,إرنست يوهانسون
/* clientsitelink-remove:1||enwiki */ William Francis Channing,20230324105324,ويليام فرنسيس تشانينج
/* clientsitelink-remove:1||enwiki */ Óscar Barros,20230821191354,أوسكار باروس
/* clientsitelink-remove:1||enwiki */ Stefan Janković (handballer),20230728200205,ستيفان يانكوفيتش (كرة يد)
/* clientsitelink-remove:1||enwikisource */ The Hunchback's Tale,20230702002851,حكاية الأحدب
/* clientsitelink-remove:1||enwiki */ Johan Ekman,20230522205134,جون أيكمن (لاعب رماية)
/* clientsitelink-remove:1||enwiki */ Angus Macdonald (diplomat),20230208183447,بيتر ماكدونالد (سياسي أسترالي)
/* clientsitelink-remove:1||enwiki */ Portal:War/Did you know,20230401111131,بوابة:الحرب/هل تعلم
/* clientsitelink-remove:1||enwiki */ Robert Rico (footballer),20231002143737,روبرتو ريكو
/* clientsitelink-remove:1||enwiki */ Lycée Charles de Gaulle (Syria),20230329020523,مدرسة شارل ديغول (دمشق)
/* clientsitelink-remove:1||enwiki */ Nayef Al-Rodhan,20230622205535,نايف الروضان
/* clientsitelink-remove:1||enwiki */ GP Records,20230518124658,جي بي ريكوردز (إندونيسيا)
/* clientsitelink-remove:1||enwiki */ GP Records,20230518145130,جي بي ريكوردز (إندونيسيا)
/* clientsitelink-remove:1||enwiki */ GP Records,20230522072536,جي بي ريكوردز (إندونيسيا)
/* clientsitelink-remove:1||enwiki */ GP Records,20230620020932,جي بي ريكوردز (إندونيسيا)
/* clientsitelink-remove:1||enwiki */ Calvin Jung,20230807080549,كالفين جونغ
/* clientsitelink-remove:1||enwiki */ Saulius Kuzminskas,20230728200205,ساوليوس كوزمينسكاس
/* clientsitelink-remove:1||enwiki */ Jennifer Anderson,20230604143403,جنيفر أندرسون
/* clientsitelink-remove:1||enwiki */ École Française Internationale de Djeddah,20230127034432,المدرسة الفرنسية العالمية (جدة)
/* clientsitelink-remove:1||enwiki */ German International School Jeddah,20230203104914,المدرسة الدولية الألمانية (جدة)
/* clientsitelink-remove:1||enwiki */ Malcolm Joseph,20230213033032,مالكوم جوزيف
/* clientsitelink-remove:1||enwiki */ French International School of Bahrain,20230105202550,المدرسة الفرنسية في البحرين
/* clientsitelink-remove:1||enwiki */ German International School Riyadh,20230203104742,المدرسة الألمانية الدولية (الرياض)
/* clientsitelink-remove:1||enwiki */ Chit San Maung (footballer),20230802062706,شيت سان مونغ
/* clientsitelink-remove:1||enwiki */ George Edgar,20230221035252,جورج إدغار
/* clientsitelink-remove:1||enwiki */ Library and information science,20230401113032,علم المكتبات
/* clientsitelink-remove:1||enwiki */ Gaston Aspa,20230522204507,جاستون أسبا
/* clientsitelink-remove:1||enwiki */ Louis Constant,20230522205438,لويس كونستانت
/* clientsitelink-remove:1||enwiki */ René Doudelle,20230522205906,رينيه دوديل
/* clientsitelink-remove:1||enwiki */ Pierre Mazior,20230522205811,بيير مازيور
/* clientsitelink-remove:1||enwiki */ Charles Morard,20230522204044,تشارلز مورارد
/* clientsitelink-remove:1||enwiki */ Polyunsaturated fatty acid,20230805205121,أحماض دهنية متعددة غير مشبعة
/* clientsitelink-remove:1||enwiki */ Independence Day (Pakistan),20230511153032,يوم الاستقلال (باكستان)
/* clientsitelink-remove:1||enwiki */ Maurizio Aquino,20230512120508,ماوريتسيو أكينو
/* clientsitelink-remove:1||enwiki */ John B. Curtis,20230331094857,جون بي. كورتيس
/* clientsitelink-remove:1||enwiki */ Nick Magnus,20230709120007,نيك ماغنوس
/* clientsitelink-remove:1||enwiki */ Yevgeny Fomin,20230119131039,يفغيني فومين
/* clientsitelink-remove:1||enwiki */ Bijdarfil,20231009205718,بجدرفل
/* clientsitelink-remove:1||enwiki */ Dahr Abi Yaghi,20230317115017,ضهر أبي ياغي
/* clientsitelink-remove:1||enwiki */ Suria Records,20230518145049,سوريا ريكوردز (ماليزيا)
/* clientsitelink-remove:1||enwiki */ Suria Records,20230522072629,سوريا ريكوردز (ماليزيا)
/* clientsitelink-remove:1||enwiki */ Suria Records,20230620020324,سوريا ريكوردز (ماليزيا)
/* clientsitelink-remove:1||enwiki */ Suria Records,20230629122946,سوريا ريكوردز (ماليزيا)
/* clientsitelink-remove:1||enwiki */ David Elliott (director),20230409003656,دايفيد إليوت
/* clientsitelink-remove:1||enwiki */ Patience (game),20230928082154,سوليتير
/* clientsitelink-remove:1||enwiki */ Hannah Wagner,20230902132411,هانا فاغنر
/* clientsitelink-remove:1||enwiki */ List of FIFA World Cup goalscorers,20230204170116,قائمة هدافي كأس العالم
/* clientsitelink-remove:1||enwiki */ Daughter of Sheena,20230109165039,ابنة شينا (كتاب)
/* clientsitelink-remove:1||enwiki */ Battle of Pelusium (343 BC),20230618014213,معركة الفرما (343 قبل الميلاد)
/* clientsitelink-remove:1||enwiki */ Barbara Oldfield,20230810000704,باربرا أولدفيلد
/* clientsitelink-remove:1||enwiki */ Craig Blackwood,20230901155117,كرايغ بلاكوود
/* clientsitelink-remove:1||enwiki */ Hollywood Science Fiction Museum,20230922230949,متحف هوليوود للخيال العلمي
/* clientsitelink-remove:1||enwiki */ Lycée Français MLF d'Al Khobar,20230204061624,المدرسة الثانوية الفرنسية الصندوق المتعدد الأطراف الخبر
/* clientsitelink-remove:1||enwiki */ Romani people in Morocco,20230826220358,غجر المغرب
/* clientsitelink-remove:1||enwikiquote */ Eric Thomas (motivational speaker),20230704133313,إيريك توماس
/* clientsitelink-remove:1||enwiki */ Gregg Hart,20230310072919,غريغ هارت
/* clientsitelink-remove:1||enwiki */ Moscow International Business Center,20230502121603,مركز الأعمال الدولي (موسكو)
/* clientsitelink-remove:1||enwiki */ Joseph Hobson,20230326103808,جوزيف هوبسون
/* clientsitelink-remove:1||enwiki */ Muzi Dlamini,20230725012933,موزي دلاميني
/* clientsitelink-remove:1||enwiki */ Basant Mosaad Mohamed Hassan,20230520212557,بسنت مسعد
/* clientsitelink-remove:1||enwiki */ Hovhannes Babakhanyan,20230512222346,هوفهانس باباخانيان
/* clientsitelink-remove:1||enwiki */ Nonfiction,20230210095122,غير خيالي
/* clientsitelink-remove:1||enwiki */ James Connolly,20230727080914,جيمس كونولي
/* clientsitelink-remove:1||enwikiquote */ Paul Walker,20230825213655,بول ووكر
/* clientsitelink-remove:1||enwiki */ Reina King,20230222175849,رينا كينغ
/* clientsitelink-remove:1||enwiki */ Charlotte Vandermeersch,20230520141358,فاندرميرش شارلوت
/* clientsitelink-remove:1||enwiki */ Mahmoud El Gendy,20230403205815,محمود الجندي
/* clientsitelink-remove:1||enwiki */ Us Tataouine,20230912130440,الاتحاد الرياضي بتطاوين
/* clientsitelink-remove:1||enwiki */ Herbert Wetter,20230522204916,هربرت ويتر
